Hayden Graham,31,31,35.9,5.4,11.2,.484,4.3,8.3,.520,1.1,2.9,.385,1.8,2.8,.655,1.6,4.6,6.2,2.2,1.1,0.3,2.0,2.8,13.8,0
Trevor Lyons,22,22,32.1,3.8,9.6,.393,2.9,7.0,.412,0.9,2.6,.345,4.2,6.5,.646,0.4,3.1,3.5,2.8,1.4,0.0,1.9,1.9,12.7,0
Zach Kocur,32,32,30.2,3.2,8.3,.389,1.4,3.3,.430,1.8,4.9,.361,1.3,1.9,.717,0.5,4.8,5.3,2.0,1.2,0.0,2.0,2.3,9.6,0
Zach Moer,29,22,19.8,3.1,6.8,.460,2.8,5.7,.494,0.3,1.2,.294,2.0,2.7,.753,1.1,2.9,4.0,1.0,0.4,0.8,1.8,2.9,8.6,0
C.J. Siples,32,12,22.1,2.2,4.3,.514,1.6,3.0,.531,0.6,1.3,.476,1.4,2.2,.652,0.3,2.6,2.9,2.2,0.9,0.3,1.3,2.2,6.5,0
Ryan Manning,5,3,20.8,2.0,6.6,.303,1.6,3.8,.421,0.4,2.8,.143,1.8,1.8,1.000,1.4,1.0,2.4,1.2,0.2,0.8,0.6,1.6,6.2,0
Jacob Van,28,8,14.1,2.1,4.4,.472,1.4,2.9,.494,0.6,1.5,.429,1.2,1.5,.767,0.3,0.9,1.1,1.0,0.6,0.0,1.0,0.8,6.0,0
Frank Toohey,26,9,14.1,1.6,3.2,.512,1.3,2.4,.556,0.3,0.7,.368,2.0,2.8,.726,1.5,1.5,2.9,0.5,0.2,0.2,0.9,2.4,5.5,0
Pervis Louder,18,2,11.7,1.3,3.1,.411,1.0,2.3,.439,0.3,0.8,.333,1.2,1.7,.710,0.7,1.2,1.9,0.5,0.5,0.0,0.9,1.7,4.1,0
Kyle Broekhuis,31,15,16.2,1.1,2.7,.398,0.7,1.6,.460,0.3,1.1,.303,0.9,1.3,.675,0.8,2.0,2.8,0.7,0.2,0.1,0.9,1.6,3.3,0
Dezmond James,32,2,12.4,0.9,3.0,.316,0.8,1.9,.387,0.2,1.0,.182,0.6,1.1,.588,0.3,1.1,1.4,0.8,0.3,0.0,0.7,0.9,2.7,0
Joe Tuss,30,2,11.6,1.0,3.5,.279,0.7,2.0,.328,0.3,1.4,.209,0.5,0.9,.519,0.5,1.4,1.9,0.6,0.2,0.0,0.7,1.5,2.7,0
Jace Chacon,4,0,2.8,0.8,1.0,.750,0.8,0.8,1.000,0.0,0.3,.000,0.3,0.3,1.000,0.0,0.5,0.5,0.0,0.0,0.0,0.3,0.0,1.8,0
Dane Norman,15,0,3.0,0.4,0.8,.500,0.3,0.5,.625,0.1,0.3,.250,0.2,0.4,.500,0.2,0.5,0.7,0.1,0.0,0.1,0.1,0.2,1.1,0
Brendan Leonard,3,0,3.0,0.0,0.3,.000,0.0,0.0,,0.0,0.3,.000,1.0,1.3,.750,0.3,0.3,0.7,0.0,0.0,0.0,0.7,0.0,1.0,0
Tre' Coggins,27,25,35.5,5.4,12.7,.424,2.7,5.9,.468,2.7,6.9,.387,2.6,3.3,.784,0.3,2.4,2.7,2.6,1.2,0.3,2.7,2.5,16.0,0
Max Yon,30,30,34.6,4.2,9.6,.434,3.0,5.8,.514,1.2,3.8,.313,3.4,4.4,.774,0.9,2.7,3.5,2.5,0.8,0.1,2.4,1.9,13.0,0
Marek Olesinski,30,28,30.1,3.6,8.3,.430,2.0,3.6,.550,1.6,4.7,.336,1.9,2.4,.778,1.1,3.8,4.9,1.7,0.6,0.3,1.6,2.4,10.6,0
Kamryn Williams,23,22,31.2,3.9,9.1,.431,3.0,6.3,.479,0.9,2.7,.317,1.4,2.3,.604,2.1,4.4,6.5,2.5,0.9,0.9,2.2,2.5,10.1,0
Justin Hammonds,28,22,25.6,2.7,5.3,.510,2.4,4.5,.535,0.3,0.7,.350,1.6,2.6,.595,0.9,4.2,5.1,1.4,0.7,0.6,1.4,3.6,7.2,0
DeLovell Earls,20,7,19.6,1.6,4.2,.373,1.4,2.9,.474,0.2,1.3,.154,1.3,2.2,.581,0.9,2.4,3.2,1.7,0.7,0.2,1.6,2.7,4.6,0
Darrius Parker,18,3,13.2,1.3,2.2,.615,1.2,1.8,.688,0.1,0.4,.286,1.1,1.8,.594,0.8,1.3,2.1,0.7,0.2,0.3,0.7,1.5,3.8,0
Hayden Graham,15,0,12.3,1.2,2.8,.429,0.6,1.3,.474,0.6,1.5,.391,0.3,0.6,.556,0.4,0.9,1.3,0.7,0.8,0.5,0.5,1.5,3.3,0
Zach Kocur,27,1,9.7,0.9,2.1,.429,0.4,0.9,.522,0.4,1.2,.364,0.7,0.9,.792,0.2,1.0,1.2,0.7,0.3,0.0,0.6,1.0,2.9,0
Austin Flues,1,0,6.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,2.0,2.0,1.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0
Callum Long,7,0,10.9,0.6,1.4,.400,0.3,0.4,.667,0.3,1.0,.286,0.6,0.7,.800,0.1,1.0,1.1,0.9,0.1,0.1,1.6,1.6,2.0,0
Ethan Michael,7,3,6.7,0.4,1.7,.250,0.3,1.0,.286,0.1,0.7,.200,0.9,1.4,.600,0.6,1.0,1.6,1.3,0.0,0.4,0.4,0.6,1.9,0
Zach Moer,12,0,4.3,0.6,1.2,.500,0.6,0.9,.636,0.0,0.3,.000,0.6,0.8,.700,0.2,0.5,0.7,0.4,0.1,0.3,0.4,0.7,1.8,0
Chase Kammerer,28,8,9.0,0.5,1.2,.412,0.5,1.0,.464,0.0,0.2,.167,0.4,0.8,.524,0.8,1.0,1.8,0.8,0.3,0.2,0.5,1.3,1.4,0
Nick Jorgensen,11,1,11.5,0.5,1.4,.333,0.3,0.7,.375,0.2,0.6,.286,0.2,0.5,.333,0.6,1.4,2.0,0.5,0.2,0.1,0.2,1.4,1.3,0
Pat Forsythe,33,29,22.2,4.0,7.2,.559,4.0,7.0,.567,0.0,0.2,.200,1.9,3.3,.593,2.2,2.8,4.9,1.0,0.6,1.3,1.5,2.4,10.0,0
Demetrius Treadwell,1,1,28.0,4.0,7.0,.571,4.0,7.0,.571,0.0,0.0,,2.0,6.0,.333,3.0,10.0,13.0,3.0,0.0,0.0,2.0,1.0,10.0,0
Adedeji Ibitayo,34,3,19.4,3.1,6.9,.451,2.0,3.9,.508,1.1,3.0,.376,2.6,3.6,.744,1.1,2.0,3.1,1.0,0.9,0.4,1.1,2.2,9.9,0
Noah Robotham,26,25,30.6,3.3,8.5,.387,1.8,4.3,.414,1.5,4.3,.360,1.7,2.3,.750,0.5,2.2,2.7,3.3,1.3,0.0,2.3,1.5,9.9,0
Kwan Cheatham,35,30,23.6,2.9,7.8,.368,1.5,3.5,.418,1.4,4.3,.327,0.8,1.3,.644,1.1,3.8,5.0,1.5,0.4,1.1,1.7,2.3,7.9,0
